182 , 116 , 54 , 22 , 32 , 33 , 32 , 43 , 56 , 52 , 61 , 64 , 70
85 , 167 , 102 , 35 , 27 , 27 , 21 , 33 , 44 , 52 , 53 , 52 , 17
35 , 34 , 171 , 84 , 13 , 20 , 22 , 21 , 37 , 41 , 50 , 13 , 53
28 , 29 , 40 , 156 , 78 , 18 , 18 , 27 , 30 , 21 , 9 , 51 , 57
14 , 19 , 15 , 27 , 147 , 63 , 18 , 19 , 22 , 4 , 31 , 34 , 40
13 , 14 , 20 , 14 , 11 , 182 , 28 , 21 , 2 , 29 , 32 , 37 , 34
75 , 48 , 38 , 38 , 37 , 48 , 154 , 54 , 45 , 51 , 59 , 65 , 76
17 , 5 , 1 , 2 , 6 , 174 , 32 , 7 , 11 , 42 , 31 , 35 , 41
11 , 1 , 4 , 2 , 172 , 24 , 3 , 8 , 7 , 8 , 21 , 28 , 33
11 , 1 , 2 , 128 , 43 , 0 , 2 , 1 , 2 , 3 , 10 , 18 , 28
13 , 2 , 139 , 54 , 1 , 0 , 0 , 1 , 2 , 3 , 13 , 11 , 37
24 , 138 , 43 , 1 , 0 , 1 , 2 , 2 , 2 , 4 , 6 , 20 , 21
163 , 42 , 2 , 2 , 1 , 1 , 2 , 1 , 1 , 3 , 9 , 22 , 31
